0 annotation: 97
1 annotation: 99
2 annotation: 97
3 annotation: 96
4 annotation: 97
5 annotation: 95
6 annotation: 94
7 annotation: 95
8 annotation: 95
9 annotation: 97
10 annotation: 96
11 annotation: 95
12 annotation: 96
13 annotation: 96
14 annotation: 94
15 annotation: 96
16 annotation: 99
17 annotation: 98
18 annotation: 98
19 annotation: 98
20 annotation: 95
21 annotation: 95
22 annotation: 96
23 annotation: 94
24 annotation: 95
Unannotated, PSIPP,   6,   0,   1,   100.788,   251.013,      1258
  Annotated, PSIPP,   6,   0,   2,   110.664,   308.010,         1
Unannotated,  CCBS,   6,   0,   2,   110.664,   307.549,         3
Unannotated, PSIPP,   6,   0,   2,   110.664,   308.010,      2070
  Annotated, PSIPP,   6,   0,   3,    70.272,   253.747,         1
Unannotated,  CCBS,   6,   0,   3,    70.272,   253.747,         2
Unannotated, PSIPP,   6,   0,   3,    70.272,   253.747,      1517
  Annotated, PSIPP,   6,   0,   4,   133.716,   464.677,         1
Unannotated,  CCBS,   6,   0,   4,   133.716,   464.677,        10
Unannotated, PSIPP,   6,   0,   4,   133.716,   464.677,      2630
  Annotated, PSIPP,   6,   0,   5,    50.044,   195.325,         0
Unannotated,  CCBS,   6,   0,   5,    50.044,   194.438,         2
Unannotated, PSIPP,   6,   0,   5,    50.044,   195.325,      1400
  Annotated, PSIPP,   6,   0,   6,   126.009,   431.029,         1
Unannotated,  CCBS,   6,   0,   6,   121.094,   407.082,        79
Unannotated, PSIPP,   6,   0,   6,   126.009,   431.029,      1842
  Annotated, PSIPP,   6,   0,   8,   139.053,   402.259,         1
Unannotated,  CCBS,   6,   0,   8,   139.977,   401.880,         6
Unannotated, PSIPP,   6,   0,   8,   139.053,   402.259,      2059
  Annotated, PSIPP,   6,   0,   9,   190.517,   602.224,         2
Unannotated,  CCBS,   6,   0,   9,   146.026,   535.068,     15792
Unannotated, PSIPP,   6,   0,   9,   190.517,   602.224,      2692
  Annotated, PSIPP,   6,   0,  10,    99.393,   282.935,         1
Unannotated,  CCBS,   6,   0,  10,    99.393,   282.935,         7
Unannotated, PSIPP,   6,   0,  10,    99.393,   282.935,      1644
  Annotated, PSIPP,   6,   0,  14,   170.138,   556.623,         2
Unannotated,  CCBS,   6,   0,  14,   170.138,   554.677,        52
Unannotated, PSIPP,   6,   0,  14,   170.138,   556.623,      3639
  Annotated, PSIPP,   6,   0,  15,   103.730,   321.015,         1
Unannotated,  CCBS,   6,   0,  15,   100.899,   320.483,        14
Unannotated, PSIPP,   6,   0,  15,   103.730,   321.015,      1724
  Annotated, PSIPP,   6,   0,  16,   158.170,   318.647,         1
Unannotated,  CCBS,   6,   0,  16,   158.926,   296.678,         8
Unannotated, PSIPP,   6,   0,  16,   158.170,   318.647,      1972
  Annotated, PSIPP,   6,   0,  18,   134.541,   454.812,         1
Unannotated,  CCBS,   6,   0,  18,   134.612,   454.137,         7
Unannotated, PSIPP,   6,   0,  18,   134.541,   454.812,      2953
  Annotated, PSIPP,   6,   0,  20,   183.694,   591.160,         2
Unannotated,  CCBS,   6,   0,  20,    -1.000,    -1.000,     30002
Unannotated, PSIPP,   6,   0,  20,   183.694,   591.160,      2393
  Annotated, PSIPP,   6,   0,  21,   146.527,   341.527,         1
Unannotated,  CCBS,   6,   0,  21,   146.527,   341.527,         9
Unannotated, PSIPP,   6,   0,  21,   146.527,   341.527,      2086
  Annotated, PSIPP,   6,   0,  22,   206.012,   585.083,         2
Unannotated,  CCBS,   6,   0,  22,   142.248,   465.272,       193
Unannotated, PSIPP,   6,   0,  22,   206.012,   585.083,      2862
  Annotated, PSIPP,   6,   0,  23,   137.710,   511.255,         1
Unannotated,  CCBS,   6,   0,  23,   137.710,   510.388,         3
Unannotated, PSIPP,   6,   0,  23,   137.710,   511.255,      3294
  Annotated, PSIPP,   7,   0,   1,   100.788,   319.193,         1
Unannotated,  CCBS,   7,   0,   1,    99.476,   318.985,         4
Unannotated, PSIPP,   7,   0,   1,   100.788,   319.193,      1834
  Annotated, PSIPP,   7,   0,   2,   110.664,   366.007,         1
Unannotated,  CCBS,   7,   0,   2,   111.273,   334.195,         4
Unannotated, PSIPP,   7,   0,   2,   110.664,   366.007,      2425
  Annotated, PSIPP,   7,   0,   3,    70.272,   305.549,         1
Unannotated,  CCBS,   7,   0,   3,    70.272,   305.549,         3
Unannotated, PSIPP,   7,   0,   3,    70.272,   305.549,      2084
  Annotated, PSIPP,   7,   0,   4,   133.716,   505.467,         2
Unannotated,  CCBS,   7,   0,   4,   133.716,   505.467,        11
Unannotated, PSIPP,   7,   0,   4,   133.716,   505.467,      3313
  Annotated, PSIPP,   7,   0,   5,   152.268,   347.592,         1
Unannotated,  CCBS,   7,   0,   5,   152.268,   346.706,         2
Unannotated, PSIPP,   7,   0,   5,   152.268,   347.592,      1653
  Annotated, PSIPP,   7,   0,   6,   126.009,   474.933,         1
Unannotated,  CCBS,   7,   0,   6,   121.094,   450.986,        82
Unannotated, PSIPP,   7,   0,   6,   126.009,   474.933,      2302
  Annotated, PSIPP,   7,   0,   8,   139.053,   512.328,         2
Unannotated,  CCBS,   7,   0,   8,   139.053,   511.892,        87
Unannotated, PSIPP,   7,   0,   8,   139.053,   512.328,      2598
  Annotated, PSIPP,   7,   0,   9,   190.517,   677.961,         2
Unannotated,  CCBS,   7,   0,   9,    -1.000,    -1.000,     30003
Unannotated, PSIPP,   7,   0,   9,   190.517,   677.961,      3406
